symbol,half_spread,impact_$100K,total_$100K,depth_buy_$100K,impact_$375K,total_$375K,depth_buy_$375K,impact_$1M,total_$1M,depth_buy_$1M,impact_$5M,total_$5M,depth_buy_$5M,ac_impact_375K,vol_annual,adtv_weekly
BEL,0.0005099439061703359,0.008802643250420834,0.008802643250420834,33772.887899999994,0.008802643250420834,0.008802643250420834,33772.887899999994,0.008802643250420834,0.008802643250420834,33772.887899999994,0.008802643250420834,0.008802643250420834,33772.887899999994,0.02,0.75895212454708,1091785.6037
BERA,9.114939385652082e-05,0.0021483457719362474,0.0021483457719362474,61833.84474,0.0021483457719362474,0.0021483457719362474,61833.84474,0.0021483457719362474,0.0021483457719362474,61833.84474,0.0021483457719362474,0.0021483457719362474,61833.84474,0.02,1.9992351791283607,11182536.19921
BICO,0.0002295157218269358,0.005906014131612288,0.005906014131612288,29084.37323,0.005906014131612288,0.005906014131612288,29084.37323,0.005906014131612288,0.005906014131612288,29084.37323,0.005906014131612288,0.005906014131612288,29084.37323,0.02,0.6717600595004803,972922.65527
BIGTIME,0.00036010082823189027,0.008113127175914213,0.008113127175914213,86456.95917,0.008113127175914213,0.008113127175914213,86456.95917,0.008113127175914213,0.008113127175914213,86456.95917,0.008113127175914213,0.008113127175914213,86456.95917,0.02,0.7733689814306405,1366538.86341
BIO,0.00024090580582991066,0.0035564493406118405,0.0035564493406118405,114745.7489,0.0048170701527095565,0.0048170701527095565,209372.86368,0.0048170701527095565,0.0048170701527095565,209372.86368,0.0048170701527095565,0.0048170701527095565,209372.86368,0.018156856561257675,1.0242864475293685,8287629.03744
BLUR,0.0002547770700637723,0.0059653149660300175,0.0059653149660300175,86148.37835,0.006408403337478718,0.006408403337478718,86148.37835,0.006408403337478718,0.006408403337478718,86148.37835,0.006408403337478718,0.006408403337478718,86148.37835,0.02,0.9859895943387524,1517155.84846
BNB,7.840247124582236e-06,0.00012419143690189257,0.00012419143690189257,114574.4813,0.00016222104006636872,0.00016222104006636872,209513.8079,0.00016222104006636872,0.00016222104006636872,209513.8079,0.00016222104006636872,0.00016222104006636872,209513.8079,0.0013437657820889615,0.5324544857049948,408871274.526
BNT,0.00034199726402185014,0.004055618668123149,0.004055618668123149,14001.8068,0.004055618668123149,0.004055618668123149,14001.8068,0.004055618668123149,0.004055618668123149,14001.8068,0.004055618668123149,0.004055618668123149,14001.8068,0.02,0.5191815745460099,650694.9135
BOME,0.00012473493825620858,0.0028030067707021274,0.0028030067707021274,88498.4704803,0.0028030067707021274,0.0028030067707021274,88498.4704803,0.0028030067707021274,0.0028030067707021274,88498.4704803,0.0028030067707021274,0.0028030067707021274,88498.4704803,0.016077242877665075,0.6184464210362908,3853450.5613399
BRETT,6.778282383244986e-05,0.001902520418525705,0.001902520418525705,4976.515317,0.001902520418525705,0.001902520418525705,4976.515317,0.001902520418525705,0.001902520418525705,4976.515317,0.001902520418525705,0.001902520418525705,4976.515317,0.02,0.8084814961813305,1047826.444745
BSV,0.0003468609087755736,0.005169493994341179,0.005169493994341179,115129.13500000001,0.006658210677293544,0.006658210677293544,122907.335,0.006658210677293544,0.006658210677293544,122907.335,0.006658210677293544,0.006658210677293544,122907.335,0.02,0.7870706369076004,1381557.328
